Home \ Away,ARS,BOU,BHA,BUR,CHE,CRY,EVE,HUD,LEI,LIV,MCI,MUN,NEW,SOU,STK,SWA,TOT,WAT,WBA,WHU
ARS,-,3-0,2-0,5-0,2-2,4-1,5-1,5-0,4-3,3-3,0-3,1-3,1-0,3-2,3-0,2-1,2-0,3-0,2-0,4-1
BOU,2-1,-,2-1,1-2,0-1,2-2,2-1,4-0,0-0,0-4,1-2,0-2,2-2,1-1,2-1,1-0,1-4,0-2,2-1,3-3
BHA,2-1,2-2,-,0-0,0-4,0-0,1-1,1-1,0-2,1-5,0-2,1-0,1-0,1-1,2-2,4-1,1-1,1-0,3-1,3-1
BUR,0-1,1-2,0-0,-,1-2,1-0,2-1,0-0,2-1,1-2,1-1,0-1,1-0,1-1,1-0,2-0,0-3,1-0,0-1,1-1
CHE,0-0,0-3,2-0,2-3,-,2-1,2-0,1-1,0-0,1-0,0-1,1-0,3-1,1-0,5-0,1-0,1-3,4-2,3-0,1-1
CRY,2-3,2-2,3-2,1-0,2-1,-,2-2,0-3,5-0,1-2,0-0,2-3,1-1,0-1,2-1,0-2,0-1,2-1,2-0,2-2
EVE,2-5,2-1,2-0,0-1,0-0,3-1,-,2-0,2-1,0-0,1-3,0-2,1-0,1-1,1-0,3-1,0-3,3-2,1-1,4-0
HUD,0-1,4-1,2-0,0-0,1-3,0-2,0-2,-,1-1,0-3,1-2,2-1,1-0,0-0,1-1,0-0,0-4,1-0,1-0,1-4
LEI,3-1,1-1,2-0,1-0,1-2,0-3,2-0,3-0,-,2-3,0-2,2-2,1-2,0-0,1-1,1-1,2-1,2-0,1-1,0-2
LIV,4-0,3-0,4-0,1-1,1-1,1-0,1-1,3-0,2-1,-,4-3,0-0,2-0,3-0,0-0,5-0,2-2,5-0,0-0,4-1
MCI,3-1,4-0,3-1,3-0,1-0,5-0,1-1,0-0,5-1,5-0,-,2-3,3-1,2-1,7-2,5-0,4-1,3-1,3-0,2-1
MUN,2-1,1-0,1-0,2-2,2-1,4-0,4-0,2-0,2-0,2-1,1-2,-,4-1,0-0,3-0,2-0,1-0,1-0,0-1,4-0
NEW,2-1,0-1,0-0,1-1,3-0,1-0,0-1,1-0,2-3,1-1,0-1,1-0,-,3-0,2-1,1-1,0-2,0-3,0-1,3-0
SOU,1-1,2-1,1-1,0-1,2-3,1-2,4-1,1-1,1-4,0-2,0-1,0-1,2-2,-,0-0,0-0,1-1,0-2,1-0,3-2
STK,1-0,1-2,1-1,1-1,0-4,1-2,1-2,2-0,2-2,0-3,0-2,2-2,0-1,2-1,-,2-1,1-2,0-0,3-1,0-3
SWA,3-1,0-0,0-1,1-0,0-1,1-1,1-1,2-0,1-2,1-0,0-4,0-4,0-1,0-1,1-2,-,0-2,1-2,1-0,4-1
TOT,1-0,1-0,2-0,1-1,1-2,1-0,4-0,2-0,5-4,4-1,1-3,2-0,1-0,5-2,5-1,0-0,-,2-0,1-1,1-1
WAT,2-1,2-2,0-0,1-2,4-1,0-0,1-0,1-4,2-1,3-3,0-6,2-4,2-1,2-2,0-1,1-2,1-1,-,1-0,2-0
WBA,1-1,1-0,2-0,1-2,0-4,0-0,0-0,1-2,1-4,2-2,2-3,1-2,2-2,2-3,1-1,1-1,1-0,2-2,-,0-0
WHU,0-0,1-1,0-3,0-3,1-0,1-1,3-1,2-0,1-1,1-4,1-4,0-0,2-3,3-0,1-1,1-0,2-3,2-0,2-1,-